time,speed,accel,event_type,event_id,seq,s_s_num,trip_event_id,driver_id,trip_id
4246,1.462674,-0.058,stop,6,30,3,6,2,1
4247,1.39757,-0.058,stop,6,31,3,6,2,1
4248,1.345486,-0.0551,stop,6,32,3,6,2,1
4249,1.280382,-0.0464,stop,6,33,3,6,2,1
4250,1.215278,-0.0464,stop,6,34,3,6,2,1
4251,1.167535,-0.0464,stop,6,35,3,6,2,1
4252,1.124132,-0.0464,stop,6,36,3,6,2,1
4253,1.054688,-0.0522,stop,6,37,3,6,2,1
4254,1.011285,-0.0522,stop,6,38,3,6,2,1
4255,0.950521,-0.0493,stop,6,39,3,6,2,1
4256,0.885417,-0.0493,stop,6,40,3,6,2,1
4257,0.833333,-0.0493,stop,6,41,3,6,2,1
4258,0.729167,-0.0493,stop,6,42,3,6,2,1
4259,0.729167,-0.0464,stop,6,43,3,6,2,1
4260,0.642361,-0.0493,stop,6,44,3,6,2,1
4261,0.572917,-0.0638,stop,6,45,3,6,2,1
4262,0.451389,-0.0696,stop,6,46,3,6,2,1
4263,0.351563,-0.0696,stop,6,47,3,6,2,1
4264,0.251736,-0.0754,stop,6,48,3,6,2,1
4265,0.169271,-0.0812,stop,6,49,3,6,2,1
4266,0,-0.0812,stop,6,50,3,6,2,1
4464,0.664063,0.1769,start,7,1,4,7,2,1
4465,0.833333,0.1972,start,7,2,4,7,2,1
4466,1.024306,0.2146,start,7,3,4,7,2,1
4467,1.232639,0.2262,start,7,4,4,7,2,1
4468,1.462674,0.2349,start,7,5,4,7,2,1
4469,1.688368,0.2378,start,7,6,4,7,2,1
4470,1.883681,0.232,start,7,7,4,7,2,1
4471,2.100695,0.2204,start,7,8,4,7,2,1
4472,2.300347,0.2001,start,7,9,4,7,2,1
4473,2.49566,0.1856,start,7,10,4,7,2,1
4474,2.677952,0.1798,start,7,11,4,7,2,1
4475,2.829861,0.1827,start,7,12,4,7,2,1
4476,2.999132,0.1798,start,7,13,4,7,2,1
4477,3.159722,0.1653,start,7,14,4,7,2,1
4478,3.294271,0.1624,start,7,15,4,7,2,1
4479,3.450521,0.1508,start,7,16,4,7,2,1
4480,3.59375,0.1363,start,7,17,4,7,2,1
4481,3.710938,0.1363,start,7,18,4,7,2,1
4482,3.858507,0.1334,start,7,19,4,7,2,1
4483,3.980035,0.1653,start,7,20,4,7,2,1
4484,4.149306,0.1856,start,7,21,4,7,2,1
4485,4.301216,0.1624,start,7,22,4,7,2,1
4486,4.461806,0.1711,start,7,23,4,7,2,1
4487,4.618056,0.1595,start,7,24,4,7,2,1
4488,4.765625,0.1624,start,7,25,4,7,2,1
4489,4.917535,0.1711,start,7,26,4,7,2,1
4490,5.047743,0.1595,start,7,27,4,7,2,1
4491,5.217014,0.1653,start,7,28,4,7,2,1
4492,5.355903,0.1595,start,7,29,4,7,2,1
4493,5.507813,0.1508,start,7,30,4,7,2,1
4494,5.629341,0.145,start,7,31,4,7,2,1
4495,5.763889,0.1682,start,7,32,4,7,2,1
4496,5.915799,0.145,start,7,33,4,7,2,1
4497,6.046007,0.1392,start,7,34,4,7,2,1
4498,6.154514,0.1392,start,7,35,4,7,2,1
4499,6.228299,0.1189,start,7,36,4,7,2,1
4500,6.345487,0.116,start,7,37,4,7,2,1
4501,6.445313,0.116,start,7,38,4,7,2,1
4502,6.532118,0.1044,start,7,39,4,7,2,1
4503,6.640625,0.0841,start,7,40,4,7,2,1
4504,6.723091,0.0609,start,7,41,4,7,2,1
4505,6.779514,0.058,start,7,42,4,7,2,1
4506,6.853299,0.0667,start,7,43,4,7,2,1
4507,6.883681,0.0783,start,7,44,4,7,2,1
4508,6.901042,0.0783,start,7,45,4,7,2,1
4509,6.935764,0.0522,start,7,46,4,7,2,1
4510,6.983507,0.0464,start,7,47,4,7,2,1
4511,7.018229,0.0609,start,7,48,4,7,2,1
4512,7.070313,0.0667,start,7,49,4,7,2,1
4513,7.105035,0.0464,start,7,50,4,7,2,1
5066,5.733507,-0.1479,stop,8,1,4,8,2,1
5067,5.568577,-0.1421,stop,8,2,4,8,2,1
5068,5.390625,-0.1566,stop,8,3,4,8,2,1
5069,5.243056,-0.1624,stop,8,4,4,8,2,1
5070,5.086806,-0.1508,stop,8,5,4,8,2,1
5071,4.926216,-0.1711,stop,8,6,4,8,2,1
5072,4.774306,-0.174,stop,8,7,4,8,2,1
5073,4.605035,-0.1537,stop,8,8,4,8,2,1
5074,4.453125,-0.1392,stop,8,9,4,8,2,1
5075,4.288195,-0.1392,stop,8,10,4,8,2,1
5076,4.162327,-0.1363,stop,8,11,4,8,2,1
5077,4.05382,-0.1044,stop,8,12,4,8,2,1
5078,3.949653,-0.0754,stop,8,13,4,8,2,1
5079,3.854167,-0.0812,stop,8,14,4,8,2,1
5080,3.776042,-0.0783,stop,8,15,4,8,2,1
5081,3.689236,-0.087,stop,8,16,4,8,2,1
5082,3.59809,-0.087,stop,8,17,4,8,2,1
5083,3.498264,-0.0986,stop,8,18,4,8,2,1
